id,country,macroarea,area,sex,agegroup,educ,hhsize_grp,foreign_born,cnt_weekday,cnt_count_30,cnt_count_gc_30,cnt_count_w_30,worn_face_mask,threat_community_q,threat_personal_q,d.weight
11532,DE,Süddeutschland,Baden-Württemberg,Male,40-44,GraduateOrMore,1p.,0,Freitag,7,1,3,0,H,L,1.3024336745778624
6557,DE,Süddeutschland,Baden-Württemberg,Male,40-44,GraduateOrMore,2pp.,0,Donnerstag,3,2,0,0,H,L,1.3024336745778624
14598,DE,Süddeutschland,Baden-Württemberg,Male,45-49,Secondary,1p.,0,Samstag,2,0,0,0,H,H,1.3024336745778624
14424,DE,Süddeutschland,Baden-Württemberg,Male,50-54,Secondary,2pp.,0,Samstag,5,2,2,0,L,L,1.3326214813831476
6124,DE,Süddeutschland,Baden-Württemberg,Male,50-54,Secondary,2pp.,0,Donnerstag,4,2,0,0,H,NA,1.3326214813831476
15180,DE,Süddeutschland,Baden-Württemberg,Male,50-54,Secondary,3pp.+,0,Samstag,8,0,5,0,H,H,1.3326214813831476
8208,DE,Süddeutschland,Baden-Württemberg,Male,50-54,Secondary,2pp.,0,Donnerstag,17,0,15,0,H,H,1.3326214813831476
12969,DE,Süddeutschland,Baden-Württemberg,Male,50-54,Secondary,3pp.+,0,Samstag,3,0,0,0,H,H,1.3326214813831476
13907,DE,Süddeutschland,Baden-Württemberg,Male,55-59,Secondary,1p.,0,Samstag,NA,2,NA,0,H,NA,1.3326214813831476
10090,DE,Süddeutschland,Baden-Württemberg,Male,55-59,Secondary,1p.,0,Freitag,NA,2,NA,0,H,L,1.3326214813831476
13633,DE,Süddeutschland,Baden-Württemberg,Male,55-59,Secondary,1p.,0,Samstag,4,3,1,0,H,H,1.3326214813831476
13816,DE,Süddeutschland,Baden-Württemberg,Male,55-59,Secondary,2pp.,0,Samstag,4,1,2,0,NA,L,1.3326214813831476
10173,DE,Süddeutschland,Baden-Württemberg,Male,55-59,Secondary,2pp.,0,Freitag,3,1,1,0,H,H,1.3326214813831476
14361,DE,Süddeutschland,Baden-Württemberg,Male,55-59,Secondary,2pp.,0,Samstag,3,1,0,0,H,H,1.3326214813831476
13857,DE,Süddeutschland,Baden-Württemberg,Male,55-59,Secondary,1p.,0,Samstag,0,0,0,0,H,H,1.3326214813831476
11470,DE,Süddeutschland,Baden-Württemberg,Male,55-59,Secondary,3pp.+,0,Freitag,3,0,0,0,H,H,1.3326214813831476
15217,DE,Süddeutschland,Baden-Württemberg,Male,55-59,Secondary,3pp.+,0,Samstag,2,0,0,0,H,L,1.3326214813831476
13810,DE,Süddeutschland,Baden-Württemberg,Male,60-64,Secondary,1p.,0,Samstag,2,1,0,0,H,NA,1.3326214813831476
6736,DE,Süddeutschland,Baden-Württemberg,Male,60-64,Secondary,1p.,0,Donnerstag,4,4,0,0,L,L,1.3326214813831476
10777,DE,Süddeutschland,Baden-Württemberg,Male,60-64,GraduateOrMore,2pp.,0,Freitag,8,0,7,0,H,H,1.3326214813831476
7898,DE,Süddeutschland,Baden-Württemberg,Male,60-64,GraduateOrMore,2pp.,0,Donnerstag,1,0,0,0,L,L,1.3326214813831476
14895,DE,Süddeutschland,Baden-Württemberg,Male,60-64,GraduateOrMore,2pp.,0,Samstag,4,2,0,0,H,H,1.3326214813831476
6958,DE,Süddeutschland,Baden-Württemberg,Male,60-64,Secondary,1p.,0,Donnerstag,4,0,4,0,H,L,1.3326214813831476
7179,DE,Süddeutschland,Baden-Württemberg,Male,60-64,Secondary,2pp.,0,Donnerstag,1,0,0,0,H,H,1.3326214813831476
6131,DE,Süddeutschland,Baden-Württemberg,Male,60-64,Secondary,2pp.,0,Donnerstag,6,5,0,0,H,H,1.3326214813831476
11549,DE,Süddeutschland,Baden-Württemberg,Male,60-64,Secondary,2pp.,0,Freitag,3,2,0,1,H,H,1.3326214813831476
11609,DE,Süddeutschland,Baden-Württemberg,Male,65-69,Secondary,2pp.,0,Freitag,1,0,0,1,H,H,1.3326214813831476
7229,DE,Süddeutschland,Baden-Württemberg,Male,65-69,PrimaryOrLess,3pp.+,1,Donnerstag,9,1,5,0,L,L,1.3326214813831476
12937,DE,Süddeutschland,Baden-Württemberg,Male,65-69,GraduateOrMore,1p.,0,Samstag,0,0,0,0,H,L,1.4815634348098186
10289,DE,Süddeutschland,Baden-Württemberg,Male,65-69,GraduateOrMore,1p.,0,Freitag,0,0,0,0,H,L,1.4815634348098186
14102,DE,Süddeutschland,Baden-Württemberg,Male,65-69,Secondary,1p.,0,Samstag,4,3,0,0,H,H,1.4815634348098186
14118,DE,Süddeutschland,Baden-Württemberg,Male,65-69,Secondary,2pp.,0,Samstag,3,0,2,0,L,L,1.3326214813831476
11764,DE,Süddeutschland,Baden-Württemberg,Male,70-74,Secondary,2pp.,0,Freitag,NA,NA,0,NA,H,H,1.4815634348098186
6217,DE,Süddeutschland,Baden-Württemberg,Male,70-74,GraduateOrMore,2pp.,0,Donnerstag,3,2,0,0,L,L,1.4815634348098186
5998,DE,Süddeutschland,Baden-Württemberg,Male,70-74,Secondary,2pp.,0,Donnerstag,1,0,0,0,H,H,1.4815634348098186
10722,DE,Süddeutschland,Baden-Württemberg,Male,70-74,NoResponse,1p.,1,Freitag,4,1,1,0,H,NA,1.4815634348098186
12544,DE,Süddeutschland,Baden-Württemberg,Male,70-74,NoResponse,2pp.,0,Samstag,6,5,0,0,L,L,1.4815634348098186
10435,DE,Süddeutschland,Baden-Württemberg,Male,70-74,Secondary,2pp.,0,Freitag,10,5,0,0,L,L,1.4815634348098186
7115,DE,Süddeutschland,Baden-Württemberg,Male,70-74,PrimaryOrLess,2pp.,0,Donnerstag,3,2,0,0,H,H,1.4815634348098186
9219,DE,Süddeutschland,Baden-Württemberg,Male,75+,NoResponse,2pp.,1,Freitag,0,0,0,0,H,H,1.4815634348098186
8544,DE,Süddeutschland,Baden-Württemberg,Male,75+,Secondary,2pp.,0,Donnerstag,2,0,0,0,H,L,1.4815634348098186
10245,DE,Süddeutschland,Baden-Württemberg,Male,75+,Secondary,1p.,1,Freitag,0,0,0,0,H,H,1.4815634348098186
14516,DE,Süddeutschland,Bayern,Female,18-24,Secondary,3pp.+,0,Samstag,2,0,0,0,H,H,0.8356563001679639
12592,DE,Süddeutschland,Bayern,Female,18-24,Secondary,3pp.+,0,Samstag,19,0,15,0,H,L,0.8356563001679639
14714,DE,Süddeutschland,Bayern,Female,18-24,GraduateOrMore,2pp.,0,Samstag,2,1,0,0,L,L,0.8356563001679639
5572,DE,Süddeutschland,Bayern,Female,18-24,Secondary,1p.,0,Sonntag,1,0,0,0,H,L,0.8356563001679639
12855,DE,Süddeutschland,Bayern,Female,18-24,Secondary,3pp.+,0,Samstag,5,2,0,0,H,H,0.8356563001679639
14363,DE,Süddeutschland,Bayern,Female,18-24,NoResponse,3pp.+,0,Samstag,4,0,0,1,H,L,0.8356563001679639
8146,DE,Süddeutschland,Bayern,Female,18-24,Secondary,3pp.+,0,Donnerstag,4,0,0,0,L,L,0.8356563001679639
12290,DE,Süddeutschland,Bayern,Female,18-24,Secondary,3pp.+,0,Samstag,6,0,0,0,H,L,0.8356563001679639
15145,DE,Süddeutschland,Bayern,Female,25-29,Secondary,3pp.+,0,Samstag,3,0,0,0,H,L,0.8356563001679639
13323,DE,Süddeutschland,Bayern,Female,25-29,Secondary,1p.,0,Samstag,5,0,5,0,H,H,1.0012744065179182
7642,DE,Süddeutschland,Bayern,Female,25-29,Secondary,2pp.,0,Donnerstag,11,8,0,0,H,L,0.8356563001679639
14242,DE,Süddeutschland,Bayern,Female,25-29,GraduateOrMore,2pp.,0,Samstag,2,1,0,0,H,L,0.8356563001679639
12782,DE,Süddeutschland,Bayern,Female,25-29,Secondary,2pp.,0,Samstag,1,0,0,0,H,H,0.8356563001679639
11590,DE,Süddeutschland,Bayern,Female,25-29,Secondary,2pp.,0,Freitag,1,0,0,0,H,L,0.8356563001679639
14509,DE,Süddeutschland,Bayern,Female,25-29,Secondary,2pp.,0,Samstag,6,0,5,0,H,H,0.8356563001679639
12606,DE,Süddeutschland,Bayern,Female,25-29,Secondary,1p.,0,Samstag,0,0,0,0,H,L,0.8356563001679639
13249,DE,Süddeutschland,Bayern,Female,25-29,GraduateOrMore,2pp.,0,Samstag,1,0,0,1,H,L,0.8356563001679639
8563,DE,Süddeutschland,Bayern,Female,25-29,NoResponse,3pp.+,0,Donnerstag,4,0,0,0,H,H,0.8356563001679639
11704,DE,Süddeutschland,Bayern,Female,25-29,Secondary,1p.,0,Freitag,0,0,0,0,L,NA,1.0012744065179182
14249,DE,Süddeutschland,Bayern,Female,25-29,Secondary,2pp.,0,Samstag,1,0,0,0,H,H,0.8356563001679639
12862,DE,Süddeutschland,Bayern,Female,25-29,Secondary,2pp.,0,Samstag,29,3,25,0,H,H,0.8356563001679639
14390,DE,Süddeutschland,Bayern,Female,30-34,GraduateOrMore,1p.,0,Samstag,11,10,0,0,L,L,1.0012744065179182
12545,DE,Süddeutschland,Bayern,Female,30-34,GraduateOrMore,1p.,0,Samstag,1,1,0,0,H,H,1.0012744065179182
14892,DE,Süddeutschland,Bayern,Female,30-34,GraduateOrMore,3pp.+,0,Samstag,1,0,0,0,H,L,1.0012744065179182
8375,DE,Süddeutschland,Bayern,Female,30-34,GraduateOrMore,2pp.,0,Donnerstag,4,3,0,0,H,H,1.0012744065179182
12588,DE,Süddeutschland,Bayern,Female,30-34,Secondary,2pp.,0,Samstag,7,1,0,0,H,H,1.0012744065179182
8822,DE,Süddeutschland,Bayern,Female,30-34,Secondary,2pp.,0,Donnerstag,27,1,25,0,H,L,1.0012744065179182
15056,DE,Süddeutschland,Bayern,Female,30-34,Secondary,3pp.+,0,Samstag,7,3,0,0,L,L,1.0012744065179182
13841,DE,Süddeutschland,Bayern,Female,35-39,GraduateOrMore,3pp.+,0,Samstag,4,1,0,0,H,H,1.0012744065179182
11241,DE,Süddeutschland,Bayern,Female,35-39,GraduateOrMore,2pp.,0,Freitag,2,0,0,0,H,H,1.0012744065179182
14415,DE,Süddeutschland,Bayern,Female,35-39,Secondary,3pp.+,0,Samstag,5,2,0,0,H,H,1.0012744065179182
14723,DE,Süddeutschland,Bayern,Female,35-39,Secondary,3pp.+,0,Samstag,14,8,0,0,H,H,1.0012744065179182
11772,DE,Süddeutschland,Bayern,Female,35-39,GraduateOrMore,3pp.+,1,Freitag,2,0,0,0,H,H,1.0012744065179182
7192,DE,Süddeutschland,Bayern,Female,35-39,GraduateOrMore,1p.,0,Donnerstag,0,0,0,0,H,L,1.0012744065179182
15181,DE,Süddeutschland,Bayern,Female,35-39,Secondary,3pp.+,0,Samstag,12,3,7,0,H,L,1.0012744065179182
8174,DE,Süddeutschland,Bayern,Female,35-39,GraduateOrMore,3pp.+,1,Donnerstag,2,0,0,0,H,H,1.0012744065179182
8512,DE,Süddeutschland,Bayern,Female,35-39,Secondary,3pp.+,0,Donnerstag,NA,NA,NA,0,H,H,1.0012744065179182
11526,DE,Süddeutschland,Bayern,Female,40-44,Secondary,3pp.+,0,Freitag,3,0,0,0,H,H,1.0012744065179182
12766,DE,Süddeutschland,Bayern,Female,40-44,Secondary,3pp.+,0,Samstag,3,1,0,0,H,H,1.0012744065179182
14737,DE,Süddeutschland,Bayern,Female,40-44,Secondary,3pp.+,0,Samstag,14,10,0,0,H,H,1.0012744065179182
8283,DE,Süddeutschland,Bayern,Female,40-44,Secondary,3pp.+,1,Donnerstag,4,1,0,0,H,H,1.0012744065179182
12668,DE,Süddeutschland,Bayern,Female,40-44,GraduateOrMore,2pp.,0,Samstag,1,0,0,0,H,L,1.0012744065179182
13482,DE,Süddeutschland,Bayern,Female,40-44,Secondary,3pp.+,0,Samstag,NA,0,NA,0,H,L,1.0012744065179182
15176,DE,Süddeutschland,Bayern,Female,40-44,Secondary,3pp.+,0,Samstag,3,1,0,0,H,H,1.0012744065179182
13683,DE,Süddeutschland,Bayern,Female,40-44,Secondary,1p.,0,Samstag,2,0,0,0,H,L,1.0012744065179182
15066,DE,Süddeutschland,Bayern,Female,40-44,Secondary,2pp.,0,Samstag,3,0,2,0,L,L,1.0012744065179182
14136,DE,Süddeutschland,Bayern,Female,40-44,Secondary,2pp.,0,Samstag,3,2,0,0,H,H,1.0012744065179182
7836,DE,Süddeutschland,Bayern,Female,40-44,GraduateOrMore,3pp.+,0,Donnerstag,8,0,3,0,H,H,1.0012744065179182
14443,DE,Süddeutschland,Bayern,Female,40-44,GraduateOrMore,3pp.+,0,Samstag,5,2,0,0,L,L,1.0012744065179182
7907,DE,Süddeutschland,Bayern,Female,40-44,Secondary,2pp.,0,Donnerstag,11,4,5,1,H,H,1.0012744065179182
14827,DE,Süddeutschland,Bayern,Female,40-44,GraduateOrMore,3pp.+,0,Samstag,6,0,0,0,H,H,1.0012744065179182
6738,DE,Süddeutschland,Bayern,Female,45-49,GraduateOrMore,3pp.+,0,Donnerstag,6,2,1,0,H,L,0.8553846757926258
