country,area,sex,agegroup,count
DE,Saarland,Total,40-44,52824
DE,Saarland,Total,45-49,57911
DE,Saarland,Total,50-54,80413
DE,Saarland,Total,55-59,87404
DE,Saarland,Total,60-64,78606
DE,Saarland,Total,65-69,67914
DE,Saarland,Total,70-74,47626
DE,Saarland,Total,75+,122435
DE,Sachsen,Female,0-17,313202
DE,Sachsen,Female,18-24,114321
DE,Sachsen,Female,25-29,88157
DE,Sachsen,Female,30-34,130759
DE,Sachsen,Female,35-39,125975
DE,Sachsen,Female,40-44,113027
DE,Sachsen,Female,45-49,112333
DE,Sachsen,Female,50-54,140790
DE,Sachsen,Female,55-59,161051
DE,Sachsen,Female,60-64,148564
DE,Sachsen,Female,65-69,153914
DE,Sachsen,Female,70-74,103965
DE,Sachsen,Female,75+,359191
DE,Sachsen,Male,0-17,329913
DE,Sachsen,Male,18-24,125499
DE,Sachsen,Male,25-29,98103
DE,Sachsen,Male,30-34,144443
DE,Sachsen,Male,35-39,140606
DE,Sachsen,Male,40-44,127174
DE,Sachsen,Male,45-49,127069
DE,Sachsen,Male,50-54,149614
DE,Sachsen,Male,55-59,162179
DE,Sachsen,Male,60-64,141630
DE,Sachsen,Male,65-69,137954
DE,Sachsen,Male,70-74,87094
DE,Sachsen,Male,75+,235444
DE,Sachsen,Total,0-17,643115
DE,Sachsen,Total,18-24,239820
DE,Sachsen,Total,25-29,186260
DE,Sachsen,Total,30-34,275202
DE,Sachsen,Total,35-39,266581
DE,Sachsen,Total,40-44,240201
DE,Sachsen,Total,45-49,239402
DE,Sachsen,Total,50-54,290404
DE,Sachsen,Total,55-59,323230
DE,Sachsen,Total,60-64,290194
DE,Sachsen,Total,65-69,291868
DE,Sachsen,Total,70-74,191059
DE,Sachsen,Total,75+,594635
DE,Sachsen-Anhalt,Female,0-17,156363
DE,Sachsen-Anhalt,Female,18-24,57403
DE,Sachsen-Anhalt,Female,25-29,42728
DE,Sachsen-Anhalt,Female,30-34,64394
DE,Sachsen-Anhalt,Female,35-39,62954
DE,Sachsen-Anhalt,Female,40-44,55991
DE,Sachsen-Anhalt,Female,45-49,62873
DE,Sachsen-Anhalt,Female,50-54,84243
DE,Sachsen-Anhalt,Female,55-59,98045
DE,Sachsen-Anhalt,Female,60-64,90435
DE,Sachsen-Anhalt,Female,65-69,87373
DE,Sachsen-Anhalt,Female,70-74,59656
DE,Sachsen-Anhalt,Female,75+,192462
DE,Sachsen-Anhalt,Male,0-17,166062
DE,Sachsen-Anhalt,Male,18-24,66223
DE,Sachsen-Anhalt,Male,25-29,48631
DE,Sachsen-Anhalt,Male,30-34,71433
DE,Sachsen-Anhalt,Male,35-39,70707
DE,Sachsen-Anhalt,Male,40-44,63185
DE,Sachsen-Anhalt,Male,45-49,69034
DE,Sachsen-Anhalt,Male,50-54,87888
DE,Sachsen-Anhalt,Male,55-59,98197
DE,Sachsen-Anhalt,Male,60-64,86148
DE,Sachsen-Anhalt,Male,65-69,79151
DE,Sachsen-Anhalt,Male,70-74,49875
DE,Sachsen-Anhalt,Male,75+,123328
DE,Sachsen-Anhalt,Total,0-17,322425
DE,Sachsen-Anhalt,Total,18-24,123626
DE,Sachsen-Anhalt,Total,25-29,91359
DE,Sachsen-Anhalt,Total,30-34,135827
DE,Sachsen-Anhalt,Total,35-39,133661
DE,Sachsen-Anhalt,Total,40-44,119176
DE,Sachsen-Anhalt,Total,45-49,131907
DE,Sachsen-Anhalt,Total,50-54,172131
DE,Sachsen-Anhalt,Total,55-59,196242
DE,Sachsen-Anhalt,Total,60-64,176583
DE,Sachsen-Anhalt,Total,65-69,166524
DE,Sachsen-Anhalt,Total,70-74,109531
DE,Sachsen-Anhalt,Total,75+,315790
DE,Schleswig-Holstein,Female,0-17,229787
DE,Schleswig-Holstein,Female,18-24,104415
DE,Schleswig-Holstein,Female,25-29,77364
DE,Schleswig-Holstein,Female,30-34,81754
DE,Schleswig-Holstein,Female,35-39,85152
DE,Schleswig-Holstein,Female,40-44,84215
DE,Schleswig-Holstein,Female,45-49,94745
DE,Schleswig-Holstein,Female,50-54,128317
DE,Schleswig-Holstein,Female,55-59,121999
DE,Schleswig-Holstein,Female,60-64,100005
DE,Schleswig-Holstein,Female,65-69,88209
DE,Schleswig-Holstein,Female,70-74,76100
DE,Schleswig-Holstein,Female,75+,208828
DE,Schleswig-Holstein,Male,0-17,242123
DE,Schleswig-Holstein,Male,18-24,114446
DE,Schleswig-Holstein,Male,25-29,84556
DE,Schleswig-Holstein,Male,30-34,86114
DE,Schleswig-Holstein,Male,35-39,83069
DE,Schleswig-Holstein,Male,40-44,81270
DE,Schleswig-Holstein,Male,45-49,92243
DE,Schleswig-Holstein,Male,50-54,125954
DE,Schleswig-Holstein,Male,55-59,119131
DE,Schleswig-Holstein,Male,60-64,94561
DE,Schleswig-Holstein,Male,65-69,80755
DE,Schleswig-Holstein,Male,70-74,67514
DE,Schleswig-Holstein,Male,75+,151147
DE,Schleswig-Holstein,Total,0-17,471910
DE,Schleswig-Holstein,Total,18-24,218861
DE,Schleswig-Holstein,Total,25-29,161920
DE,Schleswig-Holstein,Total,30-34,167868
DE,Schleswig-Holstein,Total,35-39,168221
DE,Schleswig-Holstein,Total,40-44,165485
DE,Schleswig-Holstein,Total,45-49,186988
DE,Schleswig-Holstein,Total,50-54,254271
DE,Schleswig-Holstein,Total,55-59,241130
DE,Schleswig-Holstein,Total,60-64,194566
DE,Schleswig-Holstein,Total,65-69,168964
DE,Schleswig-Holstein,Total,70-74,143614
DE,Schleswig-Holstein,Total,75+,359975
DE,Thüringen,Female,0-17,157798
DE,Thüringen,Female,18-24,57176
DE,Thüringen,Female,25-29,41815
DE,Thüringen,Female,30-34,63581
DE,Thüringen,Female,35-39,63781
DE,Thüringen,Female,40-44,56791
DE,Thüringen,Female,45-49,61260
DE,Thüringen,Female,50-54,78757
DE,Thüringen,Female,55-59,92900
DE,Thüringen,Female,60-64,86771
DE,Thüringen,Female,65-69,83822
DE,Thüringen,Female,70-74,56386
DE,Thüringen,Female,75+,176544
DE,Thüringen,Male,0-17,166667
DE,Thüringen,Male,18-24,64546
DE,Thüringen,Male,25-29,47215
DE,Thüringen,Male,30-34,70786
DE,Thüringen,Male,35-39,71943
DE,Thüringen,Male,40-44,63994
DE,Thüringen,Male,45-49,68916
DE,Thüringen,Male,50-54,82075
DE,Thüringen,Male,55-59,92921
DE,Thüringen,Male,60-64,84150
DE,Thüringen,Male,65-69,77435
DE,Thüringen,Male,70-74,48877
DE,Thüringen,Male,75+,116471
DE,Thüringen,Total,0-17,324465
DE,Thüringen,Total,18-24,121722
DE,Thüringen,Total,25-29,89030
DE,Thüringen,Total,30-34,134367
DE,Thüringen,Total,35-39,135724
DE,Thüringen,Total,40-44,120785
DE,Thüringen,Total,45-49,130176
DE,Thüringen,Total,50-54,160832
DE,Thüringen,Total,55-59,185821
DE,Thüringen,Total,60-64,170921
DE,Thüringen,Total,65-69,161257
DE,Thüringen,Total,70-74,105263
DE,Thüringen,Total,75+,293015
