country,area,sex,agegroup,educ,hhsize_grp,pop_count,pop_count_se,pop_prop
DE,Baden-Württemberg,Male,75+,2-Secondary,1p.,0,0,0
DE,Baden-Württemberg,Male,75+,2-Secondary,2pp.,172367.34291213832,79014.3529911462,0.002512079053835718
DE,Baden-Württemberg,Male,75+,2-Secondary,3pp.+,76707.96542264846,54240.72252137794,0.0011179407302160122
DE,Baden-Württemberg,Male,75+,3-GraduateOrMore,1p.,0,0,0
DE,Baden-Württemberg,Male,75+,3-GraduateOrMore,2pp.,37902.824133682814,26801.34397104825,5.523951868073867e-4
DE,Baden-Württemberg,Male,75+,3-GraduateOrMore,3pp.+,18951.412066841407,18951.41206684141,2.7619759340369337e-4
DE,Bayern,Female,18-24,1-PrimaryOrLess,1p.,0,0,0
DE,Bayern,Female,18-24,1-PrimaryOrLess,2pp.,0,0,0
DE,Bayern,Female,18-24,1-PrimaryOrLess,3pp.+,29235.019346726644,29235.019346726647,4.260707306768038e-4
DE,Bayern,Female,18-24,2-Secondary,1p.,35099.31686784746,35099.31686784747,5.115369142321049e-4
DE,Bayern,Female,18-24,2-Secondary,2pp.,169632.2868181165,76042.97820681229,0.002472218387605223
DE,Bayern,Female,18-24,2-Secondary,3pp.+,193003.0086437223,91171.28724415351,0.0028128229347267257
DE,Bayern,Female,18-24,3-GraduateOrMore,1p.,0,0,0
DE,Bayern,Female,18-24,3-GraduateOrMore,2pp.,0,0,0
DE,Bayern,Female,18-24,3-GraduateOrMore,3pp.+,0,0,0
DE,Bayern,Female,25-29,1-PrimaryOrLess,1p.,0,0,0
DE,Bayern,Female,25-29,1-PrimaryOrLess,2pp.,0,0,0
DE,Bayern,Female,25-29,1-PrimaryOrLess,3pp.+,29235.019346726644,29235.019346726647,4.260707306768038e-4
DE,Bayern,Female,25-29,2-Secondary,1p.,0,0,0
DE,Bayern,Female,25-29,2-Secondary,2pp.,35099.31686784746,35099.31686784747,5.115369142321049e-4
DE,Bayern,Female,25-29,2-Secondary,3pp.+,99433.65308242157,57607.381865370386,0.0014491445591410135
DE,Bayern,Female,25-29,3-GraduateOrMore,1p.,21495.380586546384,21495.380586546384,3.13273352210429e-4
DE,Bayern,Female,25-29,3-GraduateOrMore,2pp.,21495.380586546384,21495.380586546384,3.13273352210429e-4
DE,Bayern,Female,25-29,3-GraduateOrMore,3pp.+,42990.76117309277,30399.058753865233,6.26546704420858e-4
